"date"	"m30_density"
2014-10-02	9127064
2014-10-03	9271218
2014-10-04	6950066
2014-10-05	6229377
2014-10-06	8699781
2014-10-07	8820594
2014-10-08	8826660
2014-10-09	6614299
2014-10-10	8653403
2014-10-11	6379687
2014-10-12	5714386
2014-10-13	8597763
2014-10-14	6823269
2014-10-15	8884815
2014-10-16	9009637
2014-10-17	9180101
2014-10-18	6737602
2014-10-19	6141285
2014-10-20	8775441
2014-10-21	8946530
2014-10-22	8946335
2014-10-23	9043996
2014-10-24	9216289
2014-10-25	6850809
2014-10-26	6422177
2014-10-27	8771426
2014-10-28	8964921
2014-10-29	9242785
2014-10-30	9316037
2014-10-31	9254058
2014-11-01	6138128
2014-11-02	5794250
2014-11-03	8839059
2014-11-04	8925882
2014-11-05	9093850
2014-11-06	9133294
2014-11-07	9072848
2014-11-08	4911431
2014-11-09	5351503
2014-11-10	5669307
2014-11-11	6623378
2014-11-12	9043673
2014-11-13	9055945
2014-11-14	9019026
2014-11-15	5280878
2014-11-16	6000060
2014-11-17	8763801
2014-11-18	8913040
2014-11-19	7016365
2014-11-20	9073246
2014-11-21	9184317
2014-11-22	6852104
2014-11-23	6242899
2014-11-24	8684968
2014-11-25	8894684
2014-11-26	9278826
2014-11-27	3415002
2014-11-28	8797450
2014-11-29	6714972
2014-11-30	5822799
2014-12-01	8844335
2014-12-02	9003007
2014-12-03	9031934
2014-12-04	9055009
2014-12-05	9145093
2014-12-06	5955677
2014-12-07	5361207
2014-12-08	5485549
2014-12-09	8968901
2014-12-10	9082589
2014-12-11	9258654
2014-12-12	9274179
2014-12-13	7103226
2014-12-14	5811686
2014-12-15	8929714
2014-12-16	9157189
2014-12-17	9313113
2014-12-18	9409055
2014-12-19	9547911
2014-12-20	6891615
2014-12-21	5775476
2014-12-22	9792381
2014-12-23	6993297
2014-12-24	5292141
2014-12-25	5495921
2014-12-26	7524050
2014-12-27	5715666
2014-12-28	5728653
2014-12-29	9897313
2014-12-30	8135514
2014-12-31	6299322
2015-01-01	5587962
2015-01-02	7507035
2015-01-03	5741640
2015-01-04	5264269
2015-01-05	6231182
2015-01-06	5698536
2015-01-07	9942181
2015-01-08	8621685
2015-01-09	8851771
2015-01-10	6446846
2015-01-11	5529593
2015-01-12	8675245
2015-01-13	8788765
2015-01-14	6938227
2015-01-15	8886823
2015-01-16	9053687
2015-01-17	6526945
2015-01-18	5167129
2015-01-19	6758858
2015-01-20	8747051
2015-01-21	8683889
2015-01-22	8924399
2015-01-23	8972861
2015-01-24	6410885
2015-01-25	5629445
2015-01-26	8682977
2015-01-27	7373938
2015-01-28	10645346
2015-01-29	7086334
2015-01-30	8939577
2015-01-31	6354977
2015-02-01	5601477
2015-02-02	8633683
2015-02-03	8759555
2015-02-04	8806505
2015-02-05	9048045
2015-02-06	7036580
2015-02-07	6378778
2015-02-08	5741295
2015-02-09	8752349
2015-02-10	8994043
2015-02-11	8968681
2015-02-12	9089938
2015-02-13	8963023
2015-02-14	6572314
2015-02-15	5766996
2015-02-16	8853707
2015-02-17	8999120
2015-02-18	8740421
2015-02-19	9235705
2015-02-20	9404503
2015-02-21	6658248
2015-02-22	5965220
2015-02-23	9020967
2015-02-24	8974864
2015-02-25	9138950
2015-02-26	9344593
2015-02-27	9305649
2015-02-28	6857548
2015-03-01	6298331
2015-03-02	8906125
2015-03-03	7141141
2015-03-04	9264145
2015-03-05	7375630
2015-03-06	9371287
2015-03-07	6998335
2015-03-08	6339866
2015-03-09	9027463
2015-03-10	9174558
2015-03-11	9282971
2015-03-12	9280861
2015-03-13	9359032
2015-03-14	6978742
2015-03-15	6064370
2015-03-16	9001089
2015-03-17	9225244
2015-03-18	9243767
2015-03-19	5581655
2015-03-20	8629308
2015-03-21	4797109
2015-03-22	5564039
2015-03-23	8626749
2015-03-24	9071337
2015-03-25	9210105
2015-03-26	9333735
2015-03-27	9063573
2015-03-28	6497814
